Date,Net Sales,Orders,Guests
09/04/2017,7925.38,180,307,
09/05/2017,4857.52,140,186,
09/06/2017,5883.47,137,216,
09/07/2017,5890.54,147,222,
09/08/2017,13372.86,229,372,
09/09/2017,11506.38,252,422,
09/10/2017,10217.09,188,366,
09/11/2017,5209.16,125,185,
09/12/2017,4680.17,136,180,
09/13/2017,6780.94,182,296,
09/14/2017,5470.89,143,210,
09/15/2017,10018.41,256,390,
09/16/2017,9733.33,211,361,
09/17/2017,10307.17,229,403,
09/18/2017,4014.27,126,166,
09/19/2017,4516.5,125,167,
09/20/2017,7996.86,172,278,
09/21/2017,5098.73,134,203,
09/22/2017,8838.77,218,338,
09/23/2017,10871.08,244,398,
09/24/2017,9055.49,192,320,
09/25/2017,3881.06,117,152,
09/26/2017,4920.64,137,183,
09/27/2017,7203.79,156,265,
09/28/2017,6299.12,155,226,
09/29/2017,8071.11,213,306,
09/30/2017,11718.38,285,433,
10/01/2017,9778.58,213,363,
10/02/2017,4337.36,122,159,
10/03/2017,5109.8,135,195,
10/04/2017,7643.34,171,301,
10/05/2017,6247.32,153,215,
10/06/2017,8682.28,228,331,
10/07/2017,16547.58,463,698,
10/08/2017,9131.88,205,358,
10/09/2017,5003.84,121,198,
10/10/2017,4303.49,122,166,
10/11/2017,7167.35,196,294,
10/12/2017,4554.05,115,172,
10/13/2017,8639.91,211,324,
10/14/2017,11261.5,228,409,
10/15/2017,17694.9,290,395,
10/16/2017,3403.3,99,121,
10/17/2017,5586.68,143,207,
10/18/2017,10675.21,218,308,
10/19/2017,5991.92,141,218,
10/20/2017,9724.04,210,338,
10/21/2017,19396.14,519,714,
10/22/2017,9109.55,205,345,
10/23/2017,4656.68,124,178,
10/24/2017,4288.09,117,159,
10/25/2017,6394.2,160,253,
10/26/2017,5772.16,139,233,
10/27/2017,13658.36,205,315,
10/28/2017,12812.68,257,473,
10/29/2017,7201.01,146,334,
10/30/2017,4183.05,112,155,
10/31/2017,6830.39,152,241,
11/01/2017,6097.13,160,237,
11/02/2017,4381.37,120,180,
11/03/2017,8779.17,204,305,
11/04/2017,14761.5,417,599,
11/05/2017,8694.64,181,344,
11/06/2017,3118.87,91,122,
11/07/2017,4161.91,101,148,
11/08/2017,5491,118,196,
11/09/2017,6365.42,163,221,
11/10/2017,9334.1,179,265,
11/11/2017,11807.11,246,414,
11/12/2017,7904.71,163,291,
11/13/2017,4094.12,100,143,
11/14/2017,3922.83,106,151,
11/15/2017,5830.32,123,200,
11/16/2017,5444.43,140,203,
11/17/2017,8589.53,176,256,
11/18/2017,10741.29,244,384,
11/19/2017,8661.08,175,302,
11/20/2017,4780.76,102,162,
11/21/2017,5014.59,118,172,
11/22/2017,7202.54,158,258,
11/23/2017,4820.16,82,127,
11/24/2017,8729.75,184,273,
11/25/2017,7293.71,159,263,
11/26/2017,7122.54,151,253,
11/27/2017,3329.09,97,122,
11/28/2017,4194.98,107,148,
11/29/2017,6885.51,143,246,
11/30/2017,4759.79,135,172,
12/01/2017,9263.77,227,340,
12/02/2017,12126.83,270,440,
12/03/2017,9549.42,196,338,
12/04/2017,4499.73,109,149,
12/05/2017,3616.2,95,141,
12/06/2017,6075.5,142,203,
12/07/2017,7695.49,137,186,
12/08/2017,17343.04,262,387,
12/09/2017,14819.9,226,362,
12/10/2017,10158.02,206,363,
12/11/2017,4579.61,110,154,
12/12/2017,5679.15,107,172,
12/13/2017,6720.44,143,231,
12/14/2017,6570.55,147,213,
12/15/2017,19131.29,212,312,
12/16/2017,10023.37,228,346,
12/17/2017,10472.96,188,349,
12/18/2017,5364.94,126,195,
12/19/2017,4535.11,105,147,
12/20/2017,6893.02,154,262,
12/21/2017,9245.9,201,275,
12/22/2017,7411.33,170,242,
12/23/2017,7226.98,142,261,
12/24/2017,5251.05,102,169,
12/25/2017,4675.88,84,124,
12/26/2017,2994.63,77,113,
12/27/2017,6104.58,126,215,
12/28/2017,4055.95,95,165,
12/29/2017,7973.5,166,275,
12/30/2017,8348.48,165,258,
12/31/2017,14138.78,238,373,
01/01/2018,6178.4,111,204,
01/02/2018,2346.55,70,85,
01/03/2018,3978.11,109,154,
01/04/2018,5306.72,122,169,
01/05/2018,6898.9,134,205,
01/06/2018,10310.74,190,306,
01/07/2018,7813.6,155,254,
01/08/2018,2901.65,84,107,
01/09/2018,2795.26,80,99,
01/10/2018,5976.87,126,215,
01/11/2018,4123.21,105,149,
01/12/2018,7153.64,156,245,
01/13/2018,9402.06,181,297,
01/14/2018,8677.37,148,274,
01/15/2018,6359.71,132,231,
01/16/2018,4107.56,100,159,
01/17/2018,4790.68,112,167,
01/18/2018,4288.19,101,145,
01/19/2018,13151.78,235,321,
01/20/2018,10120.35,231,376,
01/21/2018,7055.05,165,290,
01/22/2018,3509.24,93,126,
01/23/2018,3156.55,76,112,
01/24/2018,5839.41,145,233,
01/25/2018,4279.54,112,154,
01/26/2018,7597.55,177,280,
01/27/2018,9219,173,330,
01/28/2018,6721.1,133,243,
01/29/2018,2915.03,81,106,
01/30/2018,2954.25,101,127,
01/31/2018,5376.2,110,184,
02/01/2018,4705.68,119,158,
02/02/2018,8662.1,183,271,
02/03/2018,8878.02,178,295,
02/04/2018,8609.17,173,280,
02/05/2018,2782.55,67,92,
02/06/2018,3471.59,93,128,
02/07/2018,4435.28,113,168,
02/08/2018,4616.98,123,166,
02/09/2018,7465.85,160,240,
02/10/2018,8784.74,186,290,
02/11/2018,7122.09,146,260,
02/12/2018,3552.01,92,124,
02/13/2018,2996.14,106,128,
02/14/2018,7010.33,159,241,
02/15/2018,3846.35,101,141,
02/16/2018,7884.9,174,266,
02/17/2018,7652.27,147,261,
02/18/2018,9365.36,161,292,
02/19/2018,6323.63,142,226,
02/20/2018,4190.27,109,165,
02/21/2018,6821.42,171,280,
02/22/2018,3749.28,93,136,
