DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
2017-04-11,8.28,0.0,0.0,0.0,70.0,84,56,240,260,16.1,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-12,7.83,0.03,0.0,0.0,69.0,78,59,350,340,21.9,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-04-13,13.2,0.0,0.0,0.0,59.0,66,48,320,320,23.0,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-14,6.93,0.0,0.0,0.0,55.0,64,44,30,150,13.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-15,7.83,0.0,0.0,0.0,56.0,67,47,190,180,17.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-16,14.99,0.05,0.0,0.0,70.0,87,58,270,260,40.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-17,14.99,0.0,0.0,0.0,71.0,75,58,360,350,25.9,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-18,10.96,0.0,0.0,0.0,58.0,64,48,340,330,21.9,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-19,10.29,0.0,0.0,0.0,49.0,52,46,130,140,19.9,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-20,4.7,0.05,0.0,0.0,55.0,67,51,100,150,14.1,17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-21,8.5,0.14,0.0,0.0,53.0,57,49,100,110,14.1,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-22,9.17,0.04,0.0,0.0,53.0,57,50,340,340,21.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-23,7.16,0.0,0.0,0.0,54.0,65,44,10,20,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-24,4.47,0.0,0.0,0.0,53.0,59,47,70,80,12.1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-25,15.21,0.88,0.0,0.0,54.0,56,51,40,50,29.1,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-26,8.72,0.1,0.0,0.0,56.0,62,53,20,30,19.9,23.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-27,5.82,0.0,0.0,0.0,62.0,69,55,110,110,17.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-28,8.5,0.0,0.0,0.0,67.0,86,55,250,240,21.9,27.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-29,13.65,0.16,0.0,0.0,76.0,86,65,280,280,33.1,45.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-04-30,10.29,0.0,0.0,0.0,64.0,69,51,140,120,18.1,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,7.16,0.0,0.0,0.0,57.0,75,50,180,180,16.1,21.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
