,net_sales,day_of_week
2017-09-17,10307.17,Sunday
2017-09-18,4014.27,Monday
2017-09-19,4516.5,Tuesday
2017-09-20,7996.86,Wednesday
2017-09-21,5098.73,Thursday
2017-09-22,8838.77,Friday
2017-09-23,10871.08,Saturday
2017-09-24,9055.49,Sunday
2017-09-25,3881.06,Monday
2017-09-26,4920.64,Tuesday
2017-09-27,7203.79,Wednesday
2017-09-28,6299.12,Thursday
2017-09-29,8071.11,Friday
2017-09-30,11718.38,Saturday
2017-10-01,9778.58,Sunday
2017-10-02,4337.36,Monday
2017-10-03,5109.8,Tuesday
2017-10-04,7643.34,Wednesday
2017-10-05,6247.32,Thursday
2017-10-06,8682.28,Friday
2017-10-07,16547.58,Saturday
2017-10-08,9131.88,Sunday
2017-10-09,5003.84,Monday
2017-10-10,4303.49,Tuesday
2017-10-11,7167.35,Wednesday
2017-10-12,4554.05,Thursday
2017-10-13,8639.91,Friday
2017-10-14,11261.5,Saturday
2017-10-15,17694.9,Sunday
2017-10-16,3403.3,Monday
2017-10-17,5586.68,Tuesday
2017-10-18,10675.21,Wednesday
2017-10-19,5991.92,Thursday
2017-10-20,9724.04,Friday
2017-10-21,19396.14,Saturday
2017-10-22,9109.55,Sunday
2017-10-23,4656.68,Monday
2017-10-24,4288.09,Tuesday
2017-10-25,6394.2,Wednesday
2017-10-26,5772.16,Thursday
2017-10-27,13658.36,Friday
2017-10-28,12812.68,Saturday
2017-10-29,7201.01,Sunday
2017-10-30,4183.05,Monday
2017-10-31,6830.39,Tuesday
2017-11-01,6097.13,Wednesday
2017-11-02,4381.37,Thursday
2017-11-03,8779.17,Friday
2017-11-04,14761.5,Saturday
2017-11-05,8694.64,Sunday
2017-11-06,3118.87,Monday
2017-11-07,4161.91,Tuesday
2017-11-08,5491.0,Wednesday
2017-11-09,6365.42,Thursday
2017-11-10,9334.1,Friday
2017-11-11,11807.11,Saturday
2017-11-12,7904.71,Sunday
2017-11-13,4094.12,Monday
2017-11-14,3922.83,Tuesday
2017-11-15,5830.32,Wednesday
2017-11-16,5444.43,Thursday
2017-11-17,8589.53,Friday
2017-11-18,10741.29,Saturday
2017-11-19,8661.08,Sunday
2017-11-20,4780.76,Monday
2017-11-21,5014.59,Tuesday
2017-11-22,7202.54,Wednesday
2017-11-23,4820.16,Thursday
2017-11-24,8729.75,Friday
2017-11-25,7293.71,Saturday
2017-11-26,7122.54,Sunday
2017-11-27,3329.09,Monday
2017-11-28,4194.98,Tuesday
2017-11-29,6885.51,Wednesday
2017-11-30,4759.79,Thursday
2017-12-01,9263.77,Friday
2017-12-02,12126.83,Saturday
2017-12-03,9549.42,Sunday
2017-12-04,4499.73,Monday
2017-12-05,3616.2,Tuesday
2017-12-06,6075.5,Wednesday
2017-12-07,7695.49,Thursday
2017-12-08,17343.04,Friday
2017-12-09,14819.9,Saturday
2017-12-10,10158.02,Sunday
2017-12-11,4579.61,Monday
2017-12-12,5679.15,Tuesday
2017-12-13,6720.44,Wednesday
2017-12-14,6570.55,Thursday
2017-12-15,19131.29,Friday
2017-12-16,10023.37,Saturday
2017-12-17,10472.96,Sunday
2017-12-18,5364.94,Monday
2017-12-19,4535.11,Tuesday
2017-12-20,6893.02,Wednesday
2017-12-21,9245.9,Thursday
2017-12-22,7411.33,Friday
2017-12-23,7226.98,Saturday
2017-12-24,5251.05,Sunday
2017-12-25,4675.88,Monday
2017-12-26,2994.63,Tuesday
2017-12-27,6104.58,Wednesday
2017-12-28,4055.95,Thursday
2017-12-29,7973.5,Friday
2017-12-30,8348.48,Saturday
2017-12-31,14138.78,Sunday
2018-01-01,6178.4,Monday
2018-01-02,2346.55,Tuesday
2018-01-03,3978.11,Wednesday
2018-01-04,5306.72,Thursday
2018-01-05,6898.9,Friday
2018-01-06,10310.74,Saturday
2018-01-07,7813.6,Sunday
2018-01-08,2901.65,Monday
2018-01-09,2795.26,Tuesday
2018-01-10,5976.87,Wednesday
2018-01-11,4123.21,Thursday
2018-01-12,7153.64,Friday
2018-01-13,9402.06,Saturday
2018-01-14,8677.37,Sunday
2018-01-15,6359.71,Monday
2018-01-16,4107.56,Tuesday
2018-01-17,4790.68,Wednesday
2018-01-18,4288.19,Thursday
2018-01-19,13151.78,Friday
2018-01-20,10120.35,Saturday
2018-01-21,7055.05,Sunday
2018-01-22,3509.24,Monday
2018-01-23,3156.55,Tuesday
2018-01-24,5839.41,Wednesday
2018-01-25,4279.54,Thursday
2018-01-26,7597.55,Friday
2018-01-27,9219.0,Saturday
2018-01-28,6721.1,Sunday
2018-01-29,2915.03,Monday
2018-01-30,2954.25,Tuesday
2018-01-31,5376.2,Wednesday
2018-02-01,4705.68,Thursday
2018-02-02,8662.1,Friday
2018-02-03,8878.02,Saturday
2018-02-04,8609.17,Sunday
2018-02-05,2782.55,Monday
2018-02-06,3471.59,Tuesday
2018-02-07,4435.28,Wednesday
2018-02-08,4616.98,Thursday
2018-02-09,7465.85,Friday
2018-02-10,8784.74,Saturday
2018-02-11,7122.09,Sunday
2018-02-12,3552.01,Monday
2018-02-13,2996.14,Tuesday
2018-02-14,7010.33,Wednesday
2018-02-15,3846.35,Thursday
2018-02-16,7884.9,Friday
2018-02-17,7652.27,Saturday
2018-02-18,9365.36,Sunday
2018-02-19,6323.63,Monday
2018-02-20,4190.27,Tuesday
2018-02-21,6821.42,Wednesday
2018-02-22,3749.28,Thursday
2018-02-23,6893.62,Friday
2018-02-24,8119.37,Saturday
2018-02-25,6796.15,Sunday
2018-02-26,4366.57,Monday
2018-02-27,4562.37,Tuesday
2018-02-28,5355.79,Wednesday
2018-03-01,3274.4,Thursday
2018-03-02,7390.19,Friday
2018-03-03,11798.29,Saturday
2018-03-04,7144.86,Sunday
2018-03-05,3820.02,Monday
2018-03-06,3955.88,Tuesday
2018-03-07,4464.54,Wednesday
2018-03-08,4062.81,Thursday
2018-03-09,8149.93,Friday
2018-03-10,14262.18,Saturday
2018-03-11,8933.45,Sunday
2018-03-12,2107.95,Monday
2018-03-13,4792.47,Tuesday
2018-03-14,4597.08,Wednesday
2018-03-15,5961.56,Thursday
2018-03-16,7660.72,Friday
2018-03-17,13572.19,Saturday
2018-03-18,9198.02,Sunday
2018-03-19,3490.26,Monday
2018-03-20,5139.5,Tuesday
2018-03-21,4829.71,Wednesday
2018-03-22,4464.93,Thursday
2018-03-23,6485.14,Friday
2018-03-24,21416.32,Saturday
2018-03-25,9954.66,Sunday
2018-03-26,3999.44,Monday
2018-03-27,3495.86,Tuesday
2018-03-28,4587.59,Wednesday
2018-03-29,4234.02,Thursday
2018-03-30,7862.92,Friday
2018-03-31,11263.3,Saturday
2018-04-01,7898.49,Sunday
2018-04-02,3268.42,Monday
2018-04-03,3293.48,Tuesday
2018-04-04,5167.21,Wednesday
2018-04-05,4567.1,Thursday
2018-04-06,7728.32,Friday
2018-04-07,12527.44,Saturday
2018-04-08,6547.11,Sunday
2018-04-09,3641.43,Monday
2018-04-10,2884.7,Tuesday
2018-04-11,6040.41,Wednesday
2018-04-12,4936.08,Thursday
2018-04-13,10904.15,Friday
2018-04-14,12534.82,Saturday
2018-04-15,5995.37,Sunday
2018-04-16,4486.71,Monday
2018-04-17,3782.79,Tuesday
2018-04-18,5570.58,Wednesday
2018-04-19,3415.84,Thursday
2018-04-20,11529.69,Friday
2018-04-21,11518.87,Saturday
2018-04-22,10148.57,Sunday
2018-04-23,3896.82,Monday
2018-04-24,3234.39,Tuesday
2018-04-25,5698.77,Wednesday
2018-04-26,6177.66,Thursday
2018-04-27,8523.73,Friday
2018-04-28,11116.8,Saturday
