,net_sales,day_of_week
2019-06-12,4926.98,Wednesday
2019-06-13,4932.46,Thursday
2019-06-14,8245.81,Friday
2019-06-15,10746.4,Saturday
2019-06-16,8490.21,Sunday
2019-06-17,3640.16,Monday
2019-06-18,6011.59,Tuesday
2019-06-19,4672.67,Wednesday
2019-06-20,4971.88,Thursday
2019-06-21,9099.46,Friday
2019-06-22,11307.26,Saturday
2019-06-23,8488.3,Sunday
2019-06-24,4699.11,Monday
2019-06-25,4281.13,Tuesday
2019-06-26,4900.71,Wednesday
2019-06-27,5394.55,Thursday
2019-06-28,7470.74,Friday
2019-06-29,8380.33,Saturday
2019-06-30,6544.29,Sunday
2019-07-01,4045.71,Monday
2019-07-02,3723.18,Tuesday
2019-07-03,6603.22,Wednesday
2019-07-04,7206.05,Thursday
2019-07-05,4177.76,Friday
2019-07-06,6288.31,Saturday
2019-07-07,9554.19,Sunday
2019-07-08,3355.79,Monday
2019-07-09,4094.4,Tuesday
2019-07-10,5071.81,Wednesday
2019-07-11,5855.01,Thursday
2019-07-12,7510.44,Friday
2019-07-13,7099.06,Saturday
2019-07-14,8226.0,Sunday
2019-07-15,3325.14,Monday
2019-07-16,3453.44,Tuesday
2019-07-17,5622.92,Wednesday
2019-07-18,4838.34,Thursday
2019-07-19,6452.39,Friday
2019-07-20,8559.34,Saturday
2019-07-21,6487.61,Sunday
2019-07-22,4110.86,Monday
2019-07-23,3107.77,Tuesday
2019-07-24,5125.32,Wednesday
2019-07-25,5722.97,Thursday
2019-07-26,8550.76,Friday
2019-07-27,8119.61,Saturday
2019-07-28,7655.51,Sunday
2019-07-29,4188.43,Monday
2019-07-30,5147.06,Tuesday
2019-07-31,7107.72,Wednesday
2019-08-01,4883.02,Thursday
2019-08-02,6407.17,Friday
2019-08-03,8365.14,Saturday
2019-08-04,6640.92,Sunday
2019-08-05,4704.36,Monday
2019-08-06,3624.92,Tuesday
2019-08-07,6413.97,Wednesday
2019-08-08,4101.46,Thursday
2019-08-09,5800.38,Friday
2019-08-10,8864.58,Saturday
2019-08-11,7443.28,Sunday
2019-08-12,3985.2,Monday
2019-08-13,3946.64,Tuesday
2019-08-14,6202.91,Wednesday
2019-08-15,6619.16,Thursday
2019-08-16,8266.99,Friday
2019-08-17,6592.66,Saturday
2019-08-18,5867.78,Sunday
2019-08-19,4007.0,Monday
2019-08-20,3806.68,Tuesday
2019-08-21,6929.04,Wednesday
2019-08-22,3838.5,Thursday
2019-08-23,6818.45,Friday
2019-08-24,11894.57,Saturday
2019-08-25,8934.21,Sunday
2019-08-26,3426.69,Monday
2019-08-27,3412.94,Tuesday
2019-08-28,5492.73,Wednesday
2019-08-29,6073.86,Thursday
2019-08-30,5883.41,Friday
2019-08-31,13413.31,Saturday
2019-09-01,5668.27,Sunday
2019-09-02,5826.75,Monday
2019-09-03,3825.1,Tuesday
2019-09-04,4074.54,Wednesday
2019-09-05,5812.21,Thursday
2019-09-06,6564.57,Friday
2019-09-07,9539.2,Saturday
2019-09-08,7791.41,Sunday
2019-09-09,4644.34,Monday
2019-09-10,3857.02,Tuesday
2019-09-11,5204.3,Wednesday
2019-09-12,5696.62,Thursday
2019-09-13,12287.74,Friday
2019-09-14,15475.74,Saturday
2019-09-15,6842.11,Sunday
2019-09-16,2828.24,Monday
2019-09-17,4016.47,Tuesday
2019-09-18,4892.1,Wednesday
2019-09-19,5548.66,Thursday
2019-09-20,7210.33,Friday
2019-09-21,7391.76,Saturday
2019-09-22,8032.98,Sunday
2019-09-23,2640.88,Monday
2019-09-24,3869.28,Tuesday
2019-09-25,5543.37,Wednesday
2019-09-26,5379.29,Thursday
2019-09-27,8097.85,Friday
2019-09-28,12801.96,Saturday
2019-09-29,6881.39,Sunday
2019-09-30,3527.17,Monday
2019-10-01,3998.89,Tuesday
2019-10-02,4939.15,Wednesday
2019-10-03,5735.7,Thursday
2019-10-04,8311.74,Friday
2019-10-05,7756.84,Saturday
2019-10-06,8115.96,Sunday
2019-10-07,3771.77,Monday
2019-10-08,4044.06,Tuesday
2019-10-09,5168.03,Wednesday
2019-10-10,4185.07,Thursday
2019-10-11,7005.78,Friday
2019-10-12,11052.32,Saturday
2019-10-13,8050.22,Sunday
2019-10-14,3870.53,Monday
2019-10-15,4241.95,Tuesday
2019-10-16,5602.44,Wednesday
2019-10-17,7023.61,Thursday
2019-10-18,9449.38,Friday
2019-10-19,17872.96,Saturday
2019-10-20,7263.08,Sunday
2019-10-21,3754.0,Monday
2019-10-22,3623.57,Tuesday
2019-10-23,5415.26,Wednesday
2019-10-24,7997.08,Thursday
2019-10-25,6822.39,Friday
2019-10-26,15554.16,Saturday
2019-10-27,6063.13,Sunday
2019-10-28,3063.93,Monday
2019-10-29,3216.01,Tuesday
2019-10-30,5224.46,Wednesday
2019-10-31,7843.98,Thursday
2019-11-01,6539.28,Friday
2019-11-02,11242.04,Saturday
